user_id,REGION,TENURE,MONTANT,FREQUENCE_RECH,REVENUE,ARPU_SEGMENT,FREQUENCE,DATA_VOLUME,ON_NET,ORANGE,TIGO,REGULARITY,TOP_PACK,FREQ_TOP_PACK,CHURN
b1cd2d468329d48f9708f1b8de3dc05281571ae9,SAINT-LOUIS,K > 24 month,220.0,1.0,220.0,73.0,3.0,122.0,0.0,35.0,5.0,7,Voice Package,1.0,No
5dd052f6991458738e31f63a2615b140eba13a1e,SAINT-LOUIS,K > 24 month,2100.0,2.0,990.0,330.0,1.0,737.0,10.0,35.0,7.0,34,Data Package,1.0,No
f952448923d449b8bdf56af8c71ff3a9fa170374,KOLDA,K > 24 month,1500.0,3.0,1999.0,666.0,6.0,0.0,10.0,38.0,3.0,26,Voice Package,3.0,No
fea0a255739c9c558b1658d7b08d30a47cf72187,DAKAR,K > 24 month,6500.0,13.0,6399.0,2133.0,14.0,1305.5,233.0,85.0,1.0,55,Voice Package,11.0,No
0dc9f2a47863343b8d08b43b06f7f2a0cb75f0f9,DIOURBEL,I 18-21 month,500.0,1.0,500.0,167.0,1.0,1807.5,,5.0,2.0,16,Voice Package,1.0,No
1159bcef4555abc7855049619a290792074310f0,KAFFRINE,H 15-18 month,2000.0,2.0,2010.0,670.0,5.0,1516.0,0.0,36.0,0.0,56,Data Package,2.0,No
42f8931a1d3ff7d061498d78c5d9556bad6242c8,,K > 24 month,1000.0,2.0,997.0,332.0,5.0,,48.0,,,14,Data Package,1.0,No
12cf182cc4fce195fab97f9851968a0d77096ad3,MATAM,K > 24 month,5500.0,9.0,5999.0,2000.0,20.0,0.0,84.0,13.0,3.0,35,Voice Package,2.0,No
df507bf2a03d9f50b98a3bf42892432ae7a0403b,,K > 24 month,2500.0,5.0,2500.0,833.0,5.0,,11.0,,,53,Voice Package,3.0,No
3cbb9e438b040ce8187e3fa5f5dfe607dd809406,DAKAR,K > 24 month,3000.0,5.0,3000.0,1000.0,6.0,1305.5,,39.0,7.0,5,Voice Package,5.0,No
2e7287b7fd0494fea3eaa989e6b11f90c79ee4ed,DAKAR,K > 24 month,3500.0,7.0,3500.0,1167.0,13.0,1305.5,2.0,24.0,19.0,56,IVR Package,6.0,No
b79d909be5bca1278fc7c35236bda8f07c97a791,SAINT-LOUIS,K > 24 month,100.0,1.0,82.0,27.0,1.0,0.0,,1.0,5.0,50,Voice Package,5.0,No
c777f18033dbd98173453109ef83cd6f0fd4903a,THIES,K > 24 month,21000.0,41.0,21500.0,7167.0,40.0,295.0,2483.0,412.0,17.0,61,Voice Package,28.0,No
8b404a6a59f9f8a66f4497ac10c8ab47263e9836,DAKAR,K > 24 month,3500.0,7.0,3500.0,1167.0,7.0,1305.5,36.0,108.0,2.0,26,Voice Package,7.0,No
